#Wed May 28 15:57:03 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
               0           87.23           37.81
               1          -32.92           33.47
               2          -57.69           33.28
               3          -142.1           16.56
               4          -71.92           10.42
               5          -42.37           11.81
               6          -16.37           20.09
               7            29.3           11.89
               8          -42.43           8.284
               9          -23.27           13.89
              10          -16.28           12.23
              11           22.12           10.77
              12          -35.17           9.448
              13          -14.06           17.83
              14            10.7           12.42
              15           52.66            9.86
              16          -24.83           11.79
              17          -39.81           8.503
              18          -15.33           33.22
              19           18.23           9.467
              20           -35.7            10.7
              21          -44.66           10.36
              22          -14.15            14.4
              23           21.02           8.112
              24          -43.22           9.104
              25          -24.69           14.39
              26          -13.06           11.69
              27           40.17           8.264
              28          -39.78           8.373
              29           -26.1           23.92
              30          -7.021           10.03
              31           72.68           8.814
              32          -15.04           11.51
              33           -19.1           11.91
              34           1.434            15.2
              35           39.06           13.22
              36          -35.77           9.202
              37          -12.28           13.41
              38           4.659            14.6
              39           50.14           10.81
              40          -35.98           8.847
              41          -12.92           14.36
              42            14.1           14.47
              43           57.57           10.72
              44          -32.91           12.85
              45          -3.713           17.62
              46           14.06            10.4
              47           67.18           10.15
              48          -17.36            14.1
              49          -45.56           9.034
              50           -9.12           24.76
              51           21.59           9.063
              52           -39.8           10.18
              53          -17.53           11.76
              54          -2.569           13.62
              55           47.45           8.038
              56          -35.66           8.899
              57          -28.04            17.8
              58          -6.388           11.17
              59           57.16            8.28
              60          -42.49           8.327
              61          -28.85           31.14
              62          -1.487            9.67
              63           98.83           9.364
              64          -34.47           10.96
              65          -14.58           8.333
              66           24.65           22.44
              67           26.16           14.73
              68          -46.03           9.208
              69          -7.318           9.348
              70          0.2023           16.83
              71           29.16           10.91
              72          -15.91           8.628
              73          -5.318           8.712
              74           10.35           13.98
              75           55.04           10.45
              76          -16.94           9.273
              77          -4.824           8.641
              78            21.2              12
              79           93.69           10.92
              80          -44.14           13.81
              81           -41.3           7.862
              82           5.114           18.85
              83           18.23           7.949
              84          -49.63           11.01
              85          -24.27           7.601
              86           7.146           11.16
              87            35.4           7.649
              88          -50.69            9.15
              89            4.49           10.44
              90           19.29           9.137
              91           64.26           8.662
              92          -20.92           8.153
              93          -25.47           16.39
              94           17.26           8.278
              95           94.93           9.824
              96          -7.709           9.773
              97          -28.72           9.446
              98           12.49           19.17
              99           14.52           13.75
             100          -33.61            9.23
             101           -13.5           9.968
             102           10.18           14.29
             103           52.86            10.5
             104          -37.78           8.769
             105           -14.3            9.08
             106           1.445           13.74
             107           60.88           10.81
             108           2.802           9.006
             109              17           8.809
             110           42.95            14.1
             111           119.1           11.12
             112          -22.24           13.66
             113          -25.04           7.661
             114           -6.87           16.53
             115           4.782            7.96
             116           -33.1           10.23
             117           -22.9           7.546
             118           19.73           10.45
             119           51.16           7.717
             120          -36.15           8.507
             121          -10.82            10.5
             122           14.79           8.601
             123           55.57            8.94
             124          -32.66           7.895
             125          -4.347           22.59
             126           38.62           8.646
             127           123.7           10.59
APV               11              11               1               1
               0           77.44           38.71
               1          -49.49           33.55
               2          -39.61            32.1
               3          -141.3           13.48
               4          -80.34           10.98
               5          -51.57           9.448
               6          -25.49           13.85
               7           29.84           9.896
               8          -54.29           8.903
               9          -25.99           10.13
              10           5.515           9.607
              11           44.85           9.625
              12          -57.44           9.442
              13          -28.62           10.86
              14           20.26           9.446
              15           70.86           9.871
              16          -9.248           19.88
              17          -37.72           8.391
              18          -23.17           23.93
              19           3.166           9.406
              20          -37.84           10.89
              21          -46.02           8.554
