#Fri May 30 14:23:36 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
               0           88.95           36.87
               1          -31.01           33.03
               2          -54.61           32.04
               3          -139.8           14.11
               4          -69.88           9.571
               5          -39.99           9.623
               6          -13.22           15.29
               7           32.61           10.49
               8          -39.73           7.984
               9          -20.68           10.52
              10          -12.55           10.08
              11           25.22            9.97
              12          -32.33           8.705
              13          -11.64           12.43
              14           13.91           10.22
              15            55.8            9.64
              16          -23.17           9.844
              17          -36.85           7.762
              18          -10.73            22.8
              19           21.49           8.219
              20          -33.13           9.213
              21          -42.59           8.522
              22            -9.8           10.95
              23           24.13           7.728
              24          -40.46           8.249
              25          -22.36           10.47
              26          -9.463           9.294
              27           43.25           8.164
              28           -37.3           7.746
              29          -23.61           15.69
              30          -3.416           8.465
              31           75.16           8.894
              32          -13.28           9.765
              33          -16.47           9.729
              34           5.665           11.52
              35           42.32           10.86
              36          -33.03             8.4
              37           -9.77           10.17
              38           8.336           11.32
              39           53.33           9.967
              40          -32.89           8.426
              41          -10.21           10.73
              42           17.65           11.67
              43           60.29           10.05
              44          -29.81           10.47
              45          -1.032           12.63
              46           17.37           9.109
              47           69.68           10.02
              48          -16.02           11.03
              49          -43.23            7.96
              50          -4.494           17.48
              51           24.87           7.988
              52          -37.71           8.761
              53          -15.43           9.059
              54           1.391           10.47
              55           50.15           7.587
              56          -33.06           7.994
              57          -26.02           12.26
              58          -2.972           9.116
              59           60.16            8.31
              60          -39.84           7.693
              61          -25.53           20.77
              62           2.102           8.139
              63           101.4           9.385
              64          -32.81           9.401
              65          -12.77           7.706
              66           25.95           16.85
              67           28.95           11.89
              68          -43.64           8.372
              69          -5.611           7.943
              70           2.206           13.01
              71           32.26           9.828
              72           -14.4            8.16
              73          -3.235           7.641
              74           12.85            11.3
              75           57.99           9.988
              76          -14.95           8.416
              77          -3.112           7.913
              78           23.88           10.06
              79           96.48           10.64
              80          -42.33           10.98
              81          -39.12           7.545
              82           7.138           13.52
              83           21.59           7.552
              84          -47.78            9.44
              85          -22.76           7.315
              86           9.615           8.823
              87           38.78           7.672
              88           -48.9           8.165
              89           6.199           8.543
              90           22.08           7.986
              91           67.45           8.589
              92          -19.27           7.565
              93          -23.27           11.87
              94           20.42           7.423
              95            97.4           9.916
              96          -5.652           8.749
              97          -26.76           8.116
              98           14.04           14.79
              99           17.37           11.55
             100          -32.26           8.381
             101          -11.47           8.261
             102           12.76           11.55
             103           55.65           9.924
             104          -35.91           8.258
             105          -12.93           8.413
             106           4.362           11.24
             107           63.86            10.3
             108           4.405           8.171
             109           18.88           8.349
             110           45.88           11.52
             111           121.2           10.99
             112           -20.5           10.74
             113           -23.3            7.37
             114          -4.399           12.13
             115           8.439           7.551
             116          -30.99           8.919
             117           -21.2           7.123
             118           22.42           8.432
             119           54.57           7.662
             120          -34.44           7.803
             121          -9.206           8.568
             122           17.59           7.636
             123           57.85           8.894
             124           -30.9           7.443
             125          -2.577            15.8
             126            41.9           8.033
             127             126           10.68
APV               11              11               1               1
               0           79.74           37.54
               1          -47.53           33.49
               2          -37.53           31.77
               3            -139           12.43
               4           -77.7           9.981
               5           -48.9           8.325
               6          -23.27           11.44
               7           33.03           9.445
               8          -50.79           8.382
               9          -23.15           8.596
              10           8.202           8.722
              11            47.7           9.421
              12          -54.45           8.953
              13          -26.22           8.966
              14           22.92           8.692
              15           72.96           9.824
              16          -6.995           17.77
              17          -34.82           7.935
              18          -20.03           16.76
              19           6.389           8.399
              20          -35.29           9.496
              21          -43.39             7.9
              22          -6.757           9.782
              23           46.63           8.151
              24          -48.23           8.478
              25           -19.6           8.278
              26           22.77           8.852
              27           66.78           8.529
              28           -45.4           7.952
              29          -24.93           9.953
              30           21.27           8.489
              31            63.4           9.241
              32          -4.697           10.79
              33          -17.92           8.297
              34           -18.6           8.713
              35           22.16           9.041
              36          -28.66           9.117
              37          -19.32           8.295
              38           5.028           8.849
              39            45.6           9.419
              40          -33.79           8.758
              41          -36.58           8.342
              42           21.33           9.616
              43           68.88           9.686
              44          -49.56           8.818
              45          0.3129           9.049
              46           16.92           8.311
              47           75.84           10.39
              48          -14.59           17.08
              49           -24.2           7.915
              50           5.243           13.57
              51           15.22           8.151
              52           -35.6           9.148
              53             -32           7.888
              54           10.19           9.364
              55           39.83           8.114
              56           -49.9           8.319
              57          -15.01           8.669
              58           3.043           8.835
              59           71.84           8.703
              60          -32.31           7.707
              61          -31.17            11.4
              62           23.23           8.111
              63           76.36           9.928
              64          -21.21           15.53
              65          -16.16           7.589
              66           9.062           12.31
              67           45.58           9.929
              68          -25.93           9.295
              69          -17.78            7.38
              70           24.59           10.71
              71           61.72            9.35
              72          -34.37           8.671
              73           4.319           7.442
              74           8.655           9.464
              75           68.58            9.73
              76          -22.26           7.936
              77          -40.15           7.879
              78           38.23           8.919
              79           86.41           10.76
              80          -31.14           12.53
              81           -21.2           7.918
              82          -5.362           10.67
              83           37.75           7.779
              84          -43.76           9.878
              85          -12.01           7.529
              86           1.731           7.915
              87           25.41           7.969
              88          -63.49           8.527
              89          -17.91           7.925
              90          -4.341           7.622
              91           68.95           8.949
              92          -27.46           7.897
              93          -11.64           9.677
              94           23.04           7.462
              95           111.3           10.44
              96          -4.244           11.84
              97          -26.97           7.561
              98           12.01           11.64
              99           35.85           10.03
             100          -56.54           9.254
             101           -15.7            7.67
             102           19.16           9.843
             103           45.29             9.2
             104          -43.39           8.533
             105          -3.852           8.701
             106           30.78           9.471
             107            72.8           10.03
             108          -20.96            7.73
             109           11.92           8.648
             110           40.92           9.666
             111           116.4           11.19
             112           -1.41            11.1
             113          -21.64            7.67
             114           6.921           9.842
             115           30.37           7.722
             116          -51.12            9.16
             117          -22.66           7.195
             118          -13.51           7.718
             119           51.52           8.042
             120          -33.28           8.268
             121          -10.02           7.952
             122           30.54           7.668
             123            71.4           9.071
             124          -26.53           7.686
             125          -35.76            11.7
             126           41.11           8.112
             127           138.3            11.3
APV               11              11               1               2
               0           120.1           36.17
               1          -25.48           32.37
               2          -51.51           31.81
               3          -159.7            14.4
               4          -47.39            9.73
               5          -31.99           9.058
               6           -10.4           15.34
               7            10.4           10.34
               8          -20.86           8.222
               9          -12.62           9.613
              10          -7.661           10.16
              11           18.22           9.823
              12          -10.71           9.023
              13           -25.7           9.808
              14           1.541           10.24
              15           35.09           9.706
              16           25.37           10.04
              17          -24.08           7.898
              18           1.893           22.62
              19           2.797           8.622
              20          -17.76           9.183
              21          -17.14           8.145
              22          -3.906           11.41
              23           -11.2           7.878
              24          -18.93           8.268
              25          -15.28           8.795
              26          -1.448           9.752
              27           31.87           8.127
              28          -20.28            7.84
              29          -11.82           11.28
              30          -14.26           8.823
              31           49.23           8.742
              32           22.98           10.06
              33           5.109           9.524
              34            -3.2           11.24
              35           3.639           11.01
              36          -1.753           8.607
              37          -9.092            9.54
              38          -15.68           10.91
              39            9.26            9.84
              40          -6.925           8.543
              41           5.723           8.787
              42           4.825           11.59
              43            23.7           9.894
              44          -27.49           10.33
              45          -1.568           9.276
              46          -17.51           9.134
              47           37.94           10.04
              48              13           10.76
              49          -19.82           7.898
              50           -3.52            17.4
              51           3.748           8.236
              52           -15.6           8.877
              53           -34.8           8.139
              54          -3.223           10.84
              55           7.158           7.771
              56          -9.539             8.1
              57          -28.67           9.635
              58           11.95           9.509
